"_id","Fiscal_Year","Budget_Type","Organization_Entity","Command_Name","Pillar_Name","District_Name","Unit_Name","Feature_Category","Cost_Element","Cost_Element_Long_Name","Amount"
1,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4148","REWARDS & INFORMATION",20000
2,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Central Paid Duty","Revenues","7652","PAID DUTY",-1500
3,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4230","BUSINESS TRAV - OTHER EXPENSES",5000
4,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4255","CONFERENCES/SEMINARS - OTHER EXPENSES",41200
5,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Central Paid Duty","Revenues","8502","PAID DUTY- OFFICERS FEE",-24667000
6,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4341","CLOTHING REIMBURSEMENTS",1442700
7,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4710","INSURANCE",149000
8,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Central Paid Duty","Revenues","8503","PAY DUTY EQUIPMENT RENTAL",-1513000
9,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Central Paid Duty","Revenues","8504","PAY DUTY ADMINISTRATION FEE",-3700000
10,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4760","MEMBERSHIP FEES",42300
11,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4770","PARKING EXPENSES (INTOWN)",423000
12,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Central Paid Duty","Salaries","1515","PAID DUTY OFFICERS EARNINGS",24667000
13,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Ceremonial Unit","Materials & Supplies","2670","UNIFORMS",31500
14,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4804","WIRELESS DEVICES",70200
15,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4815","COURIER SERVICES",1000
16,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Ceremonial Unit","Services","4230","BUSINESS TRAV - OTHER EXPENSES",7500
17,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Ceremonial Unit","Services","4760","MEMBERSHIP FEES",3500
18,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Service","Services","4970","SERVICES AND RENTS - GENERAL",90000
19,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Training","Equipment","3420","COMPUTERS - SOFTWARE",6000
20,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Benefits","1746","EMPLOYMENT INSURANCE - CIVILIAN",10000
21,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Benefits","1765","CANADA PENSION PLAN - CIVILIAN",28700
22,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Training","Equipment","3993","FIREARMS",346200
23,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Benefits","1776","OMERS CIVILIAN - CIVILIAN",62700
24,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Training","Materials & Supplies","2084","AMMUNITION/FIREARMS SUPPLIES",759400
25,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Equipment","3099","GENERAL EQUIPMENT",173500
26,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Training","Materials & Supplies","2670","UNIFORMS",195900
27,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Premium Pay","1571","UNIFORM COURT",-500000
28,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Training","Services","4311","COURSES - CANADA/ONTARIO POLICE COLLEGE",803700
29,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Premium Pay","1572","UNIFORM OVERTIME",-1000000
30,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Training","Services","4312","COURSES/SEMINARS",266800
31,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Premium Pay","1573","UNIFORM CALLBACK",-1000000
32,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Training","Services","4340","TUITION FEES",7500
33,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Premium Pay","1574","UNIFORM LIEU TIME CASH PAYMENT",-3500000
34,"2021","Approved Budget","1 - Toronto Police Service","Centralized Service Charges","Centralized Service Charges","Centralized Service Charges","CCC - Corporate Wide","Premium Pay","1578","UNIFORM COMMAND INITIATIVES",389500
